comment,replies,date,user_name
"Funnily enough, Anne Hathaway later starred in a film with the exact opposite message of The Devil Wears Prada - The Intern. She plays the head of a fashion company who's considering hiring a CEO to give herself less work - because her husband is the stay at home dad who's having an affair. But the end message is that the husband needs to work on his insecurities, which he does by ending the affair, confessing everything and assuring her to stay in control of her company. And she's portrayed as a nice boss as well, although her assistant is a bit overworked.


And there's a positive example from friggin 1942 in Now Voyager. An heiress chooses not to get married or pursue the man she loves because she wants to use her family's money to help the mental health system, based off her own experiences getting over a nervous breakdown.",[],2020-03-20T15:42:15Z,@BetterWithBob
Love the use of diverse TV shows !!!!,[],2020-03-14T03:12:57Z,@PiklizTafia
nice,[],2020-02-28T14:49:11Z,@klisterklister2367
Such a well thought out video. Thank you for making this and thank you for referencing Insecure and Living Single.,[],2020-02-26T22:46:23Z,@amandavrivera
This was a good video. It was very encouraging. Thanks for including all kinds of women! Including those like me who are moms.,[],2020-02-18T18:13:32Z,@Marsha_Ann
"Really sick of hustle culture. I feel like a failure all the time no matter what I accomplish. Yes it’s problematic that there are sexist aspects of wanting women to largely be mothers, but some of us Millenial women are starting to resent the pressure to BE a girl boss! Yes I enjoy my victories but I hate that it’s a constant uphill struggle to attain some nonexistent ideal. I find myself unsexed and enjoying power more than sex, and feeling disdain for everything maternal! I wish you’d covered this problem, Lindsay. Well done video overall.",[],2020-02-15T15:06:24Z,@KittySnicker
Lets be honest here. How many of  relation actually have father in equation anymore? Divorce and single parenthood are the mores.  Marriage or even men seem to be secondary thought now days. Secondly was it not how men were portrayed as boss men (for decades in cinema) who took their wives for granted and focused on career. And hence wives fell into arms of their new love .  What is good for goose is good for gander. This is conundrum of feminism. It was built on anti marriage foundation (if we actually take time to read about its history) and yet could not obliterate evolutionary rules which is propagation of species which fueled the whole patriarchal structure meant to protect the children.  Someday it will be interesting to get feminist view on poor male character writings in Hollywood,[],2020-02-13T18:55:42Z,@angelp985
"You still don't get it, do you ? Even if you put all women in the positions of CEOs and top managers , that is not going to make you happier, because then you will be complaining that there are not enough eligible men to marry and have a family with. Women who are happiest are the ones that are being taken care of financially by their men, who embrace their femininity and make an effort to be good mothers ( that involves caring for your own children ,not paying some stranger to do it).",['not all people capable of giving birth want children. success looks different to everyone.'],2020-02-11T03:32:49Z,@mandarin408
"The biggest issue with female bosses is that they don’t realize they have been pushed into management whether or not they are qualified. In the span of 10 years female managers at a company I’m familiar with went up 5 fold. All of them had the ‘credentials’ - college, years on the job, etc. but not had the personality it takes. To compensate, they acted like ‘B’s’. I think for the good of both bosses and employees, it would be better to acknowledge that this may be a several generation’s correction.",[],2020-02-10T02:18:51Z,@billyboy9675
"I like that she brought up that it's not always helpful to frame the ""girlboss"" narrative as women should be just like their male counterparts. While I'm all for assertive, take-no-prisoner, badass ladies, so much of American (traditionally masculine) workplace culture isn't empowered, it's just straight-up toxic and abusive. I want to see women succeed, but I hate seeing people promote the idea that being cut-throat, exploitative, and selfish are good ""boss"" practices. You're not a #girlboss if you support unfair labor practices, throw fellow employees under the bus, or insist people sacrifice their well-being like you did to get ahead - you're just another powerful asshole.",[],2020-02-08T05:25:52Z,@katherinepagan4860
Jon Hamm is just tall,[],2020-02-03T22:01:11Z,@andyschwartz8808
I didn’t realize Glenn Close almost always plays this type of character.  Especially if you include Dangerous Liaisons,['And Damages.'],2020-02-03T21:06:47Z,@evelynsaungikar9449
i like how she gave the idea that we should towards a future where we can get to the top by building each other up rather than bringing other people down.,[],2020-02-03T06:39:47Z,@aa5272
I adore Lindsay Ellis!!,[],2020-02-02T18:55:21Z,@MsJeanneMarie
Lol “women”....just look at your moms. Take the good and leave the bad. My mother was a bad mother. And it was just her nature. She never could be the mom I wanted her to be. But what works for someone doesn’t work for the other. Individual power and just plain believing in yourself. Lol,[],2020-01-31T22:53:04Z,@theworldofwonder
"Great video.  And all the social problems with trying to reach the top of a company... are the reason more brilliant women should try to open their own shops.  Do we really want to waste decades (of the only life we know we'll get... for those of you who don't believe in reincarnation) on proving the feminists are ""right"" because men/society are mean to us?  Fuck it, I say.  If you're going to bust your ass to get to the top, it's better to play by your own rules.  Chances are, you're more likely to win that game.  And I know some people might be thinking that not every woman has the means to open her own shop.  But the truth is that it's not about overnight success.  Nothing good ever truly is.  In this life, I don't want to compare myself with where a man at my age is.  I am my own person, with my own timeline and my own story (and money).",[],2020-01-31T03:01:01Z,@elenacartagena1224
"What? Higher standards for women? Noooooo, that nEveR happens",[],2020-01-31T02:53:07Z,@danyramos8139
"Great analysis but the blanket assumptions about women of colour is quite damaging. Especially since “of colour” refers to people coming from non-European cultures aka the rest of the world. Generalisation of people from the rest of the world inadvertently others them. Colour is a spectrum and you can’t say that they as a rule have it harder. If you can’t be more specific, then you probably shouldn’t comment on them.",[],2020-01-31T01:01:29Z,@angryowl5972
Wtf is in the pot at 2:51????,[],2020-01-29T19:42:32Z,@SeymourDisapproves
Peggy was encouraging and helpful to any woman who showed interest in moving up. There just werent many who were.,[],2020-01-29T19:19:02Z,@zz55jf
#havingitall = #doingitall,[],2020-01-29T16:52:02Z,@dreamervanroom
I literally had a rage over this with my mum the other week....huuumph,[],2020-01-29T14:59:06Z,@darkydoom9955
"I've only started been talked to for a future management position at my current job. My current job is currently staffed by women. Every other job has over looked me because they say things like ""well yes your qualified but dont you want to focus on finding a husband? "" yes this is something that was said to me not by my manager but by A supervisor of another area when I complained I couldn't get ahead",[],2020-01-29T11:23:48Z,@danabryant92
"There's something I have to speak about from my childhood experience : yes, the husband is the breadwinner. It's ideal to work 9-to-5, monday to friday, to build business, but it's not the reality. The reality is that my father work 11-12 hours a day, monday-saturday, 2-3 times/month business travelling. So, I can say that he's pretty much absent during my childhood. When he was older and really settle down, I'm already attending college, so I really never know him much.",[],2020-01-29T07:35:05Z,@zitronentee
"Men who work in higher position (many just inherit and its more genetic lottery and grooming) sacrifice everything to get there -social life, family, friends, health, and free time to get there.
Women that work over 50 hours a week is under 15%
To get to the top is giving up alot of emotional needs.   For the people that want the brass ring there is no Netflix and chill, Sunday brunches, or sabbaticals.

Its hard work with sacrifice",[],2020-01-29T05:34:50Z,@somethingclever8916
"You forgot to mention why most women give up climbing the corporate ladder during the midfle of their careers. Because a lot of them choose to have a family at that time and decide to work less. It's been proven in studies, and it isn't always necessarily because of their gender.",[],2020-01-28T19:22:50Z,@YourOasis97
Living single and Girlfriends truly inspired me growing up. Loved seeing all those women enjoying freedom and independence,[],2020-01-28T13:37:59Z,@pixiebomb28
I was thinking about the character of Patry Hewes in Damages only to realize it would have been the third character in your clip with Glenn Close. Why is it that they always give these roles to her?,[],2020-01-28T07:22:49Z,@taide123
Part of having more women in boss level is with having paid maternity leave... many women having to have to choose between having children or career. Don’t tell me women are not bing punish by having to take off few weeks or even months to have children,[],2020-01-28T05:21:32Z,@aele0317
I wanna watch living single!,[],2020-01-27T22:02:25Z,@Rurali5678
Great video!,[],2020-01-27T16:57:28Z,@weatherby551
So fascinating. There could be an entire college Seminare on this topic.,[],2020-01-27T12:32:59Z,@9897mm
The Law? In the UK more trainee lawyers are women. However that’s not translated to Barristers yet. By sheer numbers though that’s likely to changer or at least get better.,[],2020-01-27T08:01:53Z,@DSQueenie
I literally watched fatal attraction last night. Wtf world?,[],2020-01-27T04:49:16Z,@hotchisonfire
2:51 what's that?,[],2020-01-26T16:13:01Z,@yusrina1466
Woman boss....not girl boss,[],2020-01-26T09:50:21Z,@emu9520
"A nice book about the topic is ""A good time to be a girl"" by Helena Morrissey. 
Morissey talks (besides other topics) about embracing your femininity while being a business woman.",[],2020-01-26T09:31:22Z,@ioannakartsonaki3351
I LOVE this new series and Lindsay. This is so good.,[],2020-01-25T05:45:33Z,@iheartbrotherhood2
"Same for men, it comes at these expenses :)  but women get more attacked for it, cause society still expects them to be domestic creatures.  good mothers as for men..., not really.

the idea of a good father was only invented 30 years ago. 
Marriage Story","[""The being a good father story is still, hey be a good father when you have time. You work hard, it's ok if you do not share the domestics.""]",2020-01-25T04:58:15Z,@flymilo904
I think a big reason why you have the double standard of women having to give up family to have a career while men are able to have both is that women tend to not be attracted to men who make less money than they do. One person usually has to be the primary moneymaker while the other parent has to be the primary childcare giver and women tend to lose attraction for men who take on the primary domestic role. The husband picks up on that loss of attraction and it causes stress in the marriage.,"[""That is a load of alt-right bullcrap.  That is not reality at all. But it's one of the myths that is perpetuated so that guys do not share the load of at home."", '@@NathanWubs https://www.marieclaire.com/sex-love/advice/a234/beta-husband/\n\nhttps://nypost.com/2019/09/06/broke-men-are-hurting-american-womens-marriage-prospects/\n\nhttps://onlinelibrary.wiley.com/doi/abs/10.1111/jomf.12372\n\nhttps://www.marketwatch.com/story/rich-women-like-rich-men-and-rich-men-like-slender-women-2015-09-28']",2020-01-25T03:51:51Z,@davidsumner7604
"For me, Leslie Knope is a great #girlboss You guys should check out the video The Take did about her!",[],2020-01-25T02:17:08Z,@dorisplc1935
"First of all I have to admit that when I hear Girl Boss I just think of early seventies Japanese Girl Gang movies. That being said I wonder if some of this is due to years of men being told to defined themselves by their work and nothing matters more than that pay check, while women are told the impotence of having and raising children. I often think about the differences males and females,  such as often when someone is hurt or unwell  males will pretty much ignore the person while more often that not females will care about said persons well being. I often think of my dad who when I got injured such as scrap a knee or get a cut his response always (in dry dark humor)  do you want to cut it off. Mom of course was the opposite and help me deal with the injure.","[""toxic masculinity stems for the systematic culture that surrounds us. Which indeed tells men need to do x, be x, cannot show feelings unless it's anger and super confidence, etc.""]",2020-01-24T17:27:00Z,@stephennootens916
"The issue for me is that we continue to define success in the parameters of a materialist and shallow capitalist society which glorifies recognition or fame, wealth and upper class privilege. 
Why should anyone, women or men, put a premium on sacrificing our time and family for these kind of returns. Our values are often warped. We are expected to use, consume without conscience and approve, even if apathetically, exploitive industries and methods. Not just to blue collar or oversea workers but to even the close around us. 

Women aspire to success within their career which can be good or bad depending on where your values are compromised. There's nothing wrong with opting to not have children but sacrificing all meaningful human relationships for your career will only make you unhappy and is a poor representation of a full and balanced life. That goes for any human being. However there's also something to be said about doing meaningful work, it just shouldn't be scrutinized on the basis of making money or being successful in a certain kind of way that is praised in our society. 

For myself, creating a meaningful life is about balance. Recognizing values require responsibility to the duties that feed those values. Unfortunately, household duties or familial relational duties and the emotional work that it requires as well as the practical, is often demeaned as unimportant compared to making money or acquiring accolades in public life. We continue to see the household (our home where we nourish and rest) and children as burdens to split instead of things to cherish. Perhaps it is the patriarchal influence that we still define these by. 

We should want to put time in with family and relationships, seeking after work that makes a qualitative difference for others and inspires you to think beyond yourself and your accumulation. Conscious exploration of your interests and loves. 
You really do have to constantly pull back here and give there and then the next moment give there and pull back here. You can't have it all in equal measures, it's about constantly readjusting. We only have so much time and ourselves to give so you have to choose wisely.

The honest situation is that societal and cultural expectations are what shape our experience and instead of consciously deciding, we fall into the grooves of these expectations. Men are pressured to be breadwinners over being caretakers and vice versa for women. But carving out your own path in regards to these shouldn't be formulaic.
 My mother was the primary breadwinner and my father often took care of us. Not in a way that demeaned either one of them to be chained to that. And roles changed over years with my mother being able to have more the with us in other parts of our lives. I never thought that one person did one thing in our family. We all did caretaking, chores, shared financial responsibilities. However, in my life with my partner, we have had to mix up roles in a more traditional way because we have different circumstances. Still okay. I'm living the life we chose together and that's the most important thing.",[],2020-01-24T16:35:21Z,@4Distractiononly
"""we can't pretend on a whole that the whole family vs career is a construct because the reality is in most cases it is harder for women to find that balance, 
but at the same time pursuing your dreams and becoming a leader in your field doesn't mean that women should copy the toxic behavior of their male counterparts. yes girlbosses are 'still building their empire' 
*but the thing about that is that no empire was built on stepping on anybody else, and that is rather a patriarchal approach to power.* so perhaps, that's a blueprint we should consider throwing away altogether.""",[],2020-01-24T14:31:42Z,@daneefly
"I feel immense pressure by the #girlboss movement to be extremely successful, independent, smart, interesting and of course beautiful. Obviously I think it’s great that we’re doing progress, but what if I can’t or don’t want to be all those things at the same time? I’m a human, not a robot.",[],2020-01-24T10:26:08Z,@bloojkl4520
The fact that Living Single is getting the belated respect is proof that show is should be head and shoulders above The Cosby Show.,[],2020-01-24T03:15:31Z,@ayindestevens6152
The huge majority of the gap comes from difference in choices between men and women. This includes business.,[],2020-01-24T02:27:00Z,@alejandrogangotena9033
"""Worst still, unmaternal."" Seriously the most breeder sentence I've heard all week.",[],2020-01-23T20:09:28Z,@thequickjourney5532
"I am an actual “girlboss” and moved up the ladder but for some reason have always disliked all the “girlboss” “bossbabe” merchandise. It made me cringe but I couldn’t pinpoint the feeling, just made me feel like we need to normalize women being bosses. This is a real throughout rationalization of all the merch available.","['I feel you. My sister bought me some weird ""#girlboss"" fridge magnets when I got my last promotion and I\'ve never felt more ooky about a gift in my life']",2020-01-23T17:37:29Z,@rolita12
uwu lindsey<3,[],2020-01-23T17:26:55Z,@animanya394
Wow you touched everything,[],2020-01-23T13:32:21Z,@trinat347
"This was so great... like an essay, except with pics and stuff! Very informative. I learned a lot, and it gave me quite a bit to think about! Thank you for this! Brava! Keep em coming!",[],2020-01-23T05:00:17Z,@iamjaquanna
I must say I enjoy how not radical top comments are. No screaming at capitalism or plain man-hate but actually interesting comments and views and thoughts.,[],2020-01-23T02:47:00Z,@adaikonen
I just had to write down your tv references! Totally checking them out!,[],2020-01-22T20:45:20Z,@KazumiShiunsai
Lindsay Ellis is one of my favorite YouTubers! I'm happy that you brought her on,[],2020-01-22T19:49:46Z,@elysianemily
"Yes! Ignoring the fact that ""working hard"" is all you need and that there are no societal obstacles.",[],2020-01-22T18:32:53Z,@usehername1
"I absolutely agree on everthing said here, but please let us not forget, that ""having it all"" is by far not everyone's goal. I've been laletly feeling some shame toward woman who don't pursue the girl boss lifestyle. From early age I've been expected to aspire working in science or law, make that money and live the career life. Does my wish to live a stereotypically ""female"" role make me a bad women or an anti-feminist? I don't think so.


I am a white, cis womam in my 20ties and I do want to work in a social field even if it won't made me rich and have children, may not work for some years to spend time with my kids and then hopefully go back working at least half-time and live a quiet life (with a loving husband, hopefully). I'm not a conservative, religious person, that's just me and I do believe that there are quite some women out there feeling similarly",[],2020-01-22T17:12:38Z,@littleraspberry5771
hahahah weekend penis,[],2020-01-22T15:57:52Z,@issamissa902
"I mostly agree with your points, but I feel like rather than having more likable female CEOs in media we should stop having any likable CEOs period.","[""What's the point of that? CEOs are still human and some are even - gasp! - likeable.\n\nI would much rather see a large range of characters.""]",2020-01-22T15:29:31Z,@tyblazitar
"This is very much the pattern that women in the Soviet Union dealt with. Women and men were equal in the workplace, but we're then expected to also do all the things at home.

It's why feminism got such a bad rep in the former Soviet Union.

Fun fact.",[],2020-01-22T15:07:18Z,@SM-BSW
aaaaand it's Lindsay! What a pleasent surprise! That makes it even better!!! <3,[],2020-01-22T14:20:00Z,@Jazzisa311
"Thank you,  so helpful!",[],2020-01-22T12:44:16Z,@ralinaahmetova736
I just found out that Half and Half is a spin-off of Living Single. #themoreyouknow,[],2020-01-22T11:56:14Z,@dnkjdkd8781
"I don't know if Mad Men is a good example.

It is a show that started 2007 about the 1960s. The social mores of that time as well as the struggles for women (especially Peggy) and minorities in the business is not portrayed as a given but as deeply flawed and concerning.


Also Peggy could have gone with Duck Phillips to move up.",[],2020-01-22T09:04:11Z,@SmellsLikeBrass
The fact that this video brought up both Living Single AND Half&Half is nothing short of incredible,[],2020-01-22T04:13:33Z,@GG1Productions
"Really great tv show comparisons to bring unhinge your point. Very relatable. Love these episodes, hope they continue past January.",[],2020-01-22T02:09:16Z,@laurencrawford100
THISISMYFIGHTSO--,[],2020-01-21T21:24:08Z,@Davethe3rd
"I listended to the audiobook version of #Girlboss and it was so cringe. So, so cringe.",[],2020-01-21T18:07:48Z,@gabyflores9412
"Female empowerment is fine in the Philippines, living here and working here most of our leaders are women, were surrounded by women",[],2020-01-21T05:19:06Z,@ReicHHere
"Great video! Tried searching the comments for the intro music, but couldn’t find anything. Does anyone know?",[],2020-01-20T22:29:17Z,@ryanschramm5004
"I love this series, am thrilled to have Lindsay guest hosting, and want to reach as wide an audience as possible, so in that spirit, here's a candid anecdote: Even though I knew Lindsay was going to be hosting in the future, I didn't know this was one of her episodes, and the thumbnail didn't sell me enough to click. I only came back once Lindsay's Patreon sent an e-mail letting me know what this series was. Maybe consider changing up the thumbnail, putting her name and/or picture on the thumb, and maybe something in the title about what series this is? The retro aesthetic of the title really didn't draw me in, and usually the TFD style is pretty effective at drawing my attention - could just be me, of course! Keep up the great work, all of you at TFD and Lindsay Ellis Co.!",[],2020-01-20T22:11:11Z,@andspenrob
"""No empire was ever built without stepping on someone else."" Well said","['They all were actually. ;)', '@@rosacentifollia right?', 'Daaaaamn']",2020-01-20T19:50:46Z,@meepcity48
So White Boomer Late Stage Capitalism? I hope for more girl anarchists! Dismantle unjust hierarchies of the greedy Bourgeois. Trade that mug for a Moltov Mimosas. Nice essay Lindsay.,[],2020-01-20T04:35:43Z,@Tacom4ster
"Lindsey I miss your channel, omg!",[],2020-01-20T01:02:26Z,@13realmusic
"Love Lindsay Ellis, but also love Princess Weekes and her Mary Sue articles, awesome to see these two working together!",[],2020-01-20T00:37:04Z,@AnnTheAnonymous
"Hell yeah, Mad Men and Living Single!!",[],2020-01-19T20:31:50Z,@MyssBlewm
"The opportunity gap definitely exists... Insecure seems interesting! I’ll have to watch that.
When we pursue career success, it’s harder to do so than it is for men. Basically when you strive to have it all, ur often left with nothing. In business, career success is relational and as an attractive young female, you’re less likely to be seen as capable and more likely to be seen as a liability in taking time off to have children or someone they can’t be as comfortable around. For the past decade, I’ve been laser focused on developing my technical and soft skills, and I can’t say that has gotten me far. Pulling all nighters to get something done isn’t something I’ve ever seen my male peers have to do. And in return, I usually get more “busy work”, dull projects, someone else’s job in addition to mine who is entry level, etc. I can’t wait for the day that women aren’t pigeonholed or discriminated in the workforce for their sex. In my career in corporate finance, you’ll find many women as analysts and accountants but few as managers and I’ve yet to meet more than 1 female CFO. And that’s definitely not because women aren’t as good. We aren’t even given opportunities for advancement.",[],2020-01-19T15:57:32Z,@TB-rx1ue
"2:58 How long have women been complaining that men put their careers before their families?  The only difference is that women are the only ones that have wombs+ovaries, and they're on the clock.  Deny all you want, but Mother Nature requires that you make the choice.
3:40 Because they're the sex which typically has more ""compassion"" hormones.
6:41 Oh that pesky uterus.  Have no fear, though: a few generations of the Pill's affect on society means that now there are more women in University.  I foresee  lots more women in the CxO suite in 30 years.
7:08 My former wife ""advocated for herself"" and got a hefty raise.  (Of course, I had to push her to do it, so as to not hear her constantly complain about being so poorly paid while doing so much.)",[],2020-01-19T03:30:40Z,@RonJohn63
"Oh look, a liberal feminist that uses cherry picked data and expects people to fit into her idea of what the world should be like....I'm so (not) surprised",[],2020-01-18T14:32:16Z,@Abdullah34610
"Men in high pressure CEO positions also sacrifice having a good family life. Most often they have a wife who raises the kids and she doesn't work very much outside of that. Theoretically this would also work with a stay at home dad. There is a LARGE stigma against this, it's not all ""poor waman have to do all the child raising"". Men and women look down on men who do the typlical female role. That's why if a woman tries to make it in a high pressure career in the same way a man would she ends up without a family. Not to mention women trend to want to marry men who are more successful than them.

Not all of your points are wrong but I hate this ""only women have it hard"" attitude.",[],2020-01-18T12:25:45Z,@ebunni5862
"How could you forget Princess Carolyn, whose entire arc is about the balance of work and motherhood?","['Sudev Sen sorry, Bojack Horseman is the most under appreciated show of the decade.']",2020-01-18T08:43:13Z,@sudevsen
My two favorite channels together 😭🙌🏻❤️,[],2020-01-18T00:31:33Z,@angivasquez8911
I much prefer the term GlowGetter {busy and active girl achieving her goals while glowing from the inside out} :P,[],2020-01-17T21:13:07Z,@KynaNg123
"What do you know? Here be my favorite Youtuber! Thanks for your insight, Lindsay! It's always a joy to see you work!",[],2020-01-17T16:25:40Z,@HelpMeOuch
I love that this already beloved channel introduced me to you 👏🏼,[],2020-01-17T15:16:23Z,@evelynfranca4992
Saw Lindsay Ellis in the thumbnail and clicked *-*,[],2020-01-17T15:05:54Z,@RenataTalvik
This is my new favorite crossover,[],2020-01-17T04:37:56Z,@373dancerGirl
OMG! Such a pleasant surprise to see Lindsay here! Huge fan!,[],2020-01-17T00:15:11Z,@ninatash2580
Amazing video! Congrats! Love to see a honest evaluation from a very feminist point of view of this stereotipe of the #girlboss!,[],2020-01-16T22:29:14Z,@Terrornoire
"Thank you! 
I feel like our modern ""you can have it all, women"" thing really just looks like working constantly, for both no pay (maternity leave, caring for others) and less pay (normal job) while being judged as not good enough for either (because it's working two full time jobs that can't really get all the attention each, and we love judging women for everything)... It looks like a trap unfortunately that only the wealthy can escape. Or if you're in a country that values families and health (paid parental leave, affordable/free childcare and healthcare).",[],2020-01-16T21:36:30Z,@epicherbalism
"Lindsay!! I'm so happy to see you bringing your nuanced, beautifully presented discussions of gender and representation to The Financial Diet!",[],2020-01-16T17:29:48Z,@KRfromthePaleozoic
was Lindsey's face not on the thumbnail?,[],2020-01-16T15:41:21Z,@Thoughtspresso
"Ironically, I think the best depiction of a woman who “has it all” is Clair Huxtable in the Cosby Show. A successful career as a lawyer, 5 happy, healthy children, and a loving marriage.","['It’s troublesome that this is what’s considered “having it all”. *All* is different for everyone. Kids, no kids, career, no career, married, not married, etc etc.', ""we see her at a time in her life as a mom with teenagers though. Without her husbands income also she probably wouldn't have good access to childcare that made her career possible to become as successful as she did .""]",2020-01-16T11:39:11Z,@mufasa0505
"I have taken a hiatus from this channel and youtube for a bit, but damn you guys are delivering! Glad to be back ♥️ Lindsay is my girl.",[],2020-01-16T10:06:59Z,@sarapocorn
"THIS is just sooo saaad. If we go on like this the future will be sad too. 

People standing alone or in “pretend”/“must” relationships all fighting for “succes”

Undermining the idea that childcare - is something that you don’t want something that is below. 

It’s exactly what’ some  man did before: ohh yeah childcare is nothing only people who are below want to do it AKA women

Now it’s women who say: 
Yeah you rock it! - if they are career wise successful 

And in many case look down on women who choose family rather.... 
‘You are so petty. I want my OWN life not some crying annoying thing’ 


This is just SAD. That we promote this. This is not “feminism” this is “manism” AKA idealizing men’s traditional role - you know the meme: new way of feminism: wanting to become man.... 

And I’m not even talking about: how late childbirth is a problem - and that in the huge career building you loose many thing - one is your femininity. 

Why can’t feminine things be positive: giving birth, caring about others. 
Why see it as a weakness. Embrace it. Fight for the respect of motherhood.  

Please.",[],2020-01-16T09:35:02Z,@szilvianagy2410
#nomoreempires,[],2020-01-15T23:22:39Z,@sterlingshiner
Lindsay on the financial diet omg yessssssssss,[],2020-01-15T16:31:27Z,@tugger
"Another issue I have with the girlboss narrative is that is distorts what a working woman looks like. We need to celebrate working class women. Not just the ones that are executives at problematic corporations. Being an executive at an oil company, for example, isn't a good form of feminism. Women do tend to be more drawn to pro-social careers. Women are more likely to become teachers, nurses, most nonprofits I have experience with are female dominated. These are all careers where someone may have a great impact on the lives of others, but they may not be paid a high salary for it.","['Also thinking of Coco where the great-great-grandmother started a shoe business that lasted decades after her death and ensures the family stays comfortable because whether the economy falls or rises, people will need shoes.', ""What makes it worse is that because of the tendency to dominate pro-social careers, women are often guilt tripped into doing more and more work for no extra compensation because they're doing it for the kids/sick/underprivileged. It's very exploitative.""]",2020-01-15T16:30:46Z,@meredithwhite272
